priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,rank_source,rank_source_version,rank_source_url,rank_source_license
401,body,401,"[""ngsl-core""]","[""body""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
402,require,402,"[""ngsl-core""]","[""require""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
403,wait,403,"[""ngsl-core""]","[""wait""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
404,general,404,"[""ngsl-core""]","[""general""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
405,appear,405,"[""ngsl-core""]","[""appear""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
406,toward,406,"[""ngsl-core""]","[""toward""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
407,team,407,"[""ngsl-core""]","[""team""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
408,easy,408,"[""ngsl-core""]","[""easy""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
409,individual,409,"[""ngsl-core""]","[""individual""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
410,full,410,"[""ngsl-core""]","[""full""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
411,black,411,"[""ngsl-core""]","[""black""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
412,sense,412,"[""ngsl-core""]","[""sense""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
413,perhaps,413,"[""ngsl-core""]","[""perhaps""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
414,add,414,"[""ngsl-core""]","[""add""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
415,rule,415,"[""ngsl-core""]","[""rule""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
416,pass,416,"[""ngsl-core""]","[""pass""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
417,produce,417,"[""ngsl-core""]","[""produce""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
418,sell,418,"[""ngsl-core""]","[""sell""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
419,short,419,"[""ngsl-core""]","[""short""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
420,agree,420,"[""ngsl-core""]","[""agree""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
421,law,421,"[""ngsl-core""]","[""law""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
422,everything,422,"[""ngsl-core""]","[""everything""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
423,research,423,"[""ngsl-core""]","[""research""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
424,cover,424,"[""ngsl-core""]","[""cover""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
425,paper,425,"[""ngsl-core""]","[""paper""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
426,position,426,"[""ngsl-core""]","[""position""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
427,near,427,"[""ngsl-core""]","[""near""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
428,human,428,"[""ngsl-core""]","[""human""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
429,computer,429,"[""ngsl-core""]","[""computer""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
430,situation,430,"[""ngsl-core""]","[""situation""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
431,staff,431,"[""ngsl-core""]","[""staff""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
432,activity,432,"[""ngsl-core""]","[""activity""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
433,film,433,"[""ngsl-core""]","[""film""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
434,morning,434,"[""ngsl-core""]","[""morning""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
435,war,435,"[""ngsl-core""]","[""war""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
436,account,436,"[""ngsl-core""]","[""account""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
437,shop,437,"[""ngsl-core""]","[""shop""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
438,major,438,"[""ngsl-core""]","[""major""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
439,someone,439,"[""ngsl-core""]","[""someone""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
440,above,440,"[""ngsl-core""]","[""above""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
441,design,441,"[""ngsl-core""]","[""design""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
442,event,442,"[""ngsl-core""]","[""event""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
443,special,443,"[""ngsl-core""]","[""special""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
444,sometimes,444,"[""ngsl-core""]","[""sometimes""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
445,condition,445,"[""ngsl-core""]","[""condition""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
446,carry,446,"[""ngsl-core""]","[""carry""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
447,choose,447,"[""ngsl-core""]","[""choose""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
448,father,448,"[""ngsl-core""]","[""father""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
449,decision,449,"[""ngsl-core""]","[""decision""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
450,table,450,"[""ngsl-core""]","[""table""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
451,certain,451,"[""ngsl-core""]","[""certain""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
452,forward,452,"[""ngsl-core""]","[""forward""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
453,main,453,"[""ngsl-core""]","[""main""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
454,die,454,"[""ngsl-core""]","[""die""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
455,bear,455,"[""ngsl-core""]","[""bear""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
456,cut,456,"[""ngsl-core""]","[""cut""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
457,describe,457,"[""ngsl-core""]","[""describe""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
458,himself,458,"[""ngsl-core""]","[""himself""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
459,available,459,"[""ngsl-core""]","[""available""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
460,especially,460,"[""ngsl-core""]","[""especially""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
461,strong,461,"[""ngsl-core""]","[""strong""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
462,rise,462,"[""ngsl-core""]","[""rise""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
463,girl,463,"[""ngsl-core""]","[""girl""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
